threshold_pct,n_near_high,p_break_up_given_near_high,p_break_down_given_near_high,n_near_low,p_break_down_given_near_low,p_break_up_given_near_low
2,113,0.9203539823008849,0.22123893805309736,117,0.8717948717948718,0.08547008547008547
4,154,0.9025974025974026,0.18831168831168832,163,0.8834355828220859,0.07975460122699386
6,200,0.87,0.18,201,0.8805970149253731,0.0945273631840796
8,254,0.8543307086614174,0.16535433070866143,253,0.849802371541502,0.09881422924901186
10,329,0.8024316109422492,0.16717325227963525,306,0.8398692810457516,0.09803921568627451
12,406,0.7881773399014779,0.16009852216748768,375,0.8373333333333334,0.096
14,477,0.779874213836478,0.16561844863731656,454,0.8127753303964758,0.09030837004405286
16,560,0.7535714285714286,0.16607142857142856,514,0.7957198443579766,0.09922178988326848
18,641,0.7379095163806553,0.1747269890795632,597,0.7855946398659966,0.10887772194304858
20,709,0.7306064880112835,0.1763046544428773,680,0.7617647058823529,0.11029411764705882
22,773,0.7192755498059509,0.17981888745148772,747,0.7456492637215528,0.10843373493975904
24,853,0.7104337631887456,0.17702227432590856,812,0.7315270935960592,0.12192118226600986
26,913,0.6976998904709748,0.1796276013143483,881,0.7264472190692395,0.1271282633371169
28,1000,0.685,0.184,950,0.7042105263157895,0.13473684210526315
30,1075,0.6725581395348837,0.1888372093023256,1007,0.6901688182720953,0.14597815292949354
