zone,n,break_up,break_down,hit_750_up,hit_750_down,zone_mid
90-100%,256,0.77734375,0.1484375,0.19140625,0.2890625,95.0
80-100%,636,0.7122641509433962,0.16981132075471697,0.21069182389937108,0.25943396226415094,90.0
80-90%,380,0.6684210526315789,0.18421052631578946,0.2236842105263158,0.2394736842105263,85.0
70-100%,1002,0.656686626746507,0.18562874251497005,0.21057884231536927,0.26047904191616766,85.0
70-90%,746,0.6152815013404825,0.19839142091152814,0.21715817694369974,0.25067024128686327,80.0
70-80%,366,0.5601092896174863,0.21311475409836064,0.2103825136612022,0.26229508196721313,75.0
60-90%,1069,0.5594013096351731,0.21796071094480823,0.20954162768942938,0.25257249766136575,75.0
60-80%,689,0.49927431059506533,0.2365747460087083,0.20174165457184326,0.2597968069666183,70.0
50-80%,1000,0.482,0.276,0.236,0.267,65.0
50-60%,311,0.4437299035369775,0.3633440514469453,0.31189710610932475,0.2829581993569132,55.0
50-70%,634,0.43690851735015773,0.31230283911671924,0.250788643533123,0.2697160883280757,60.0
60-70%,323,0.43034055727554177,0.2631578947368421,0.19195046439628483,0.25696594427244585,65.0
40-70%,923,0.40411700975081255,0.3412784398699892,0.2535211267605634,0.2535211267605634,55.0
40-60%,600,0.39,0.38333333333333336,0.2866666666666667,0.25166666666666665,50.0
30-60%,920,0.34891304347826085,0.40869565217391307,0.266304347826087,0.24782608695652175,45.0
40-50%,289,0.33217993079584773,0.40484429065743943,0.25951557093425603,0.2179930795847751,45.0
30-50%,609,0.30049261083743845,0.4318555008210181,0.24302134646962234,0.22988505747126436,40.0
20-50%,936,0.2724358974358974,0.4700854700854701,0.2532051282051282,0.24145299145299146,35.0
30-40%,320,0.271875,0.45625,0.228125,0.240625,35.0
20-40%,647,0.24574961360123648,0.4992272024729521,0.250386398763524,0.25193199381761977,30.0
20-30%,327,0.22018348623853212,0.5412844036697247,0.27217125382262997,0.26299694189602446,25.0
10-40%,1021,0.19980411361410383,0.5719882468168462,0.24583741429970618,0.267384916748286,25.0
10-30%,701,0.16690442225392296,0.6248216833095578,0.25392296718972895,0.2796005706134094,20.0
0-30%,1007,0.14597815292949354,0.6901688182720953,0.25918570009930486,0.2800397219463754,15.0
10-20%,374,0.12032085561497326,0.6978609625668449,0.23796791443850268,0.29411764705882354,15.0
0-20%,680,0.11029411764705882,0.7617647058823529,0.2529411764705882,0.28823529411764703,10.0
0-10%,306,0.09803921568627451,0.8398692810457516,0.27124183006535946,0.28104575163398693,5.0
