zone,n,win_rate_up,win_rate_down,win_rate_either,med_MAE_long_pips,med_MAE_short_pips,expected_pips,score
20-30%,327,0.27217125382262997,0.26299694189602446,0.5229357798165137,49.20503697472875,51.46708977763679,368.348623853211,0.010416002284387105
30-40%,320,0.228125,0.240625,0.44375,42.526564330516365,49.96982307205483,305.0,0.010194923647784623
0-10%,235,0.2851063829787234,0.2765957446808511,0.502127659574468,49.22472290698658,53.63160243090828,351.7021276595744,0.009997619310003578
40-50%,289,0.25951557093425603,0.2179930795847751,0.44982698961937717,45.55477284053226,47.01832807075016,309.8615916955017,0.009662317355949843
50-60%,311,0.31189710610932475,0.2829581993569132,0.5369774919614148,54.812422725557575,55.93832028474332,379.5819935691318,0.00962111060116232
60-70%,323,0.19195046439628483,0.25696594427244585,0.4179566563467492,48.788611634587326,41.78280103306296,284.3653250773994,0.00839462364233514
10-20%,374,0.23796791443850268,0.29411764705882354,0.48663101604278075,57.75287230317555,47.9380570041059,339.3048128342246,0.00828267618188394
70-80%,366,0.2103825136612022,0.26229508196721313,0.4453551912568306,53.08885821919857,46.248548747773896,306.2841530054645,0.008233769502990802
80-90%,380,0.2236842105263158,0.2394736842105263,0.42105263157894735,52.81398442609851,47.435778675261204,286.84210526315786,0.007824223314242214
90-100%,329,0.1945288753799392,0.2887537993920973,0.44376899696048633,60.47932625970786,38.172015644983276,305.01519756838906,0.007218182500664819
