zone,direction,target_pips,hit_probability,n
near_highs,up,250,0.05113636363636364,880
near_highs,down,250,0.04090909090909091,880
near_highs,up,500,0.011363636363636364,880
near_highs,down,500,0.0022727272727272726,880
near_highs,up,750,0.004545454545454545,880
near_highs,down,750,0.0,880
near_highs,up,1000,0.0,880
near_highs,down,1000,0.0,880
near_highs,up,1500,0.0,880
near_highs,down,1500,0.0,880
near_lows,up,250,0.04460093896713615,852
near_lows,down,250,0.05868544600938967,852
near_lows,up,500,0.005868544600938967,852
near_lows,down,500,0.009389671361502348,852
near_lows,up,750,0.002347417840375587,852
near_lows,down,750,0.0035211267605633804,852
near_lows,up,1000,0.0011737089201877935,852
near_lows,down,1000,0.0,852
near_lows,up,1500,0.0,852
near_lows,down,1500,0.0,852
middle,up,250,0.04333694474539545,923
middle,down,250,0.04983748645720477,923
middle,up,500,0.007583965330444204,923
middle,down,500,0.009750812567713976,923
middle,up,750,0.0,923
middle,down,750,0.0,923
middle,up,1000,0.0,923
middle,down,1000,0.0,923
middle,up,1500,0.0,923
middle,down,1500,0.0,923
all,up,250,0.04631578947368421,3325
all,down,250,0.0481203007518797,3325
all,up,500,0.007518796992481203,3325
all,down,500,0.0069172932330827065,3325
all,up,750,0.002105263157894737,3325
all,down,750,0.0009022556390977444,3325
all,up,1000,0.0003007518796992481,3325
all,down,1000,0.0,3325
all,up,1500,0.0,3325
all,down,1500,0.0,3325
