zone,n,hit_750_up,hit_750_down,hit_750_either,risk_reward,expected_pips
50-60%,311,0.31189710610932475,0.2829581993569132,0.594855305466238,1.4682539682539686,425.8842443729904
0-10%,306,0.27124183006535946,0.28104575163398693,0.5522875816993464,1.2335766423357666,391.83006535947715
20-30%,327,0.27217125382262997,0.26299694189602446,0.5351681957186545,1.1513157894736845,378.1345565749236
10-20%,374,0.23796791443850268,0.29411764705882354,0.5320855614973262,1.1371428571428572,375.668449197861
90-100%,329,0.1945288753799392,0.2887537993920973,0.48328267477203646,0.9352941176470587,336.62613981762917
40-50%,289,0.25951557093425603,0.2179930795847751,0.47750865051903113,0.9139072847682119,332.0069204152249
70-80%,366,0.2103825136612022,0.26229508196721313,0.4726775956284153,0.8963730569948186,328.14207650273227
30-40%,320,0.228125,0.240625,0.46875,0.8823529411764706,325.0
80-90%,380,0.2236842105263158,0.2394736842105263,0.4631578947368421,0.8627450980392156,320.52631578947364
60-70%,323,0.19195046439628483,0.25696594427244585,0.44891640866873067,0.8146067415730338,309.13312693498455
