reference_side,C5_zone,n,median_MFE_pips,p75_MFE_pips,p90_MFE_pips,median_MAE_pips,p75_MAE_pips,median_MFE_from_C4_pips,p75_MFE_from_C4_pips,median_MAE_from_C4_pips,p75_MAE_from_C4_pips,median_C4_to_C5_reference_pips,C6_break_reference,C6_close_beyond_reference
up_from_C5_high,0-10%,74,950.0000000007276,11859.749999999622,38933.399999999674,38616.00000000035,91592.74999999997,3113.999999999942,12982.99999999981,51821.00000000064,115948.4999999997,-1920.9999999999127,0.5135135135135135,0.28378378378378377
up_from_C5_high,10-25%,255,0.0,17104.500000000553,40517.39999999961,47572.00000000012,83319.49999999997,15030.999999999767,32248.000000000684,47586.00000000006,87793.9999999995,8422.999999999593,0.47058823529411764,0.27450980392156865
up_from_C5_high,25-40%,386,0.0,16372.750000000087,35893.50000000013,39897.499999999854,79919.49999999924,21333.499999999913,39327.000000000044,35868.00000000003,69143.50000000032,13663.999999999942,0.46113989637305697,0.2616580310880829
up_from_C5_high,40-50%,271,0.0,10694.000000000233,37022.99999999959,46919.99999999971,83522.99999999959,23455.00000000029,43271.50000000038,33172.99999999959,67579.99999999956,15120.999999999185,0.4354243542435424,0.22878228782287824
up_from_C5_high,50-60%,266,266.5000000000873,17492.00000000019,38460.999999999694,42853.50000000035,80313.5000000002,22808.499999999913,48105.00000000029,31838.999999999214,70894.74999999984,12385.99999999933,0.5150375939849624,0.33458646616541354
up_from_C5_high,60-75%,441,127.00000000040745,20075.0,45991.00000000035,39441.00000000035,76332.0000000007,25359.999999999854,51154.999999998836,29847.000000000116,64071.00000000064,14952.000000000407,0.5079365079365079,0.2811791383219955
up_from_C5_high,75-90%,522,0.0,14705.249999999796,41065.29999999951,42115.99999999962,74092.99999999967,24064.49999999968,50406.5000000006,30508.999999999287,63744.249999999374,15388.000000000466,0.4674329501915709,0.24521072796934865
up_from_C5_high,90-100%,1112,0.0,16140.249999999287,48753.1999999997,46869.500000000335,81473.00000000032,45279.50000000019,85402.74999999983,18997.50000000022,48596.00000000064,34581.000000000495,0.43345323741007197,0.22931654676258992
down_from_C5_low,0-10%,1058,0.0,22899.249999999665,55647.20000000065,49018.00000000003,83831.25000000036,54859.99999999949,97310.99999999988,19816.500000000087,45880.9999999994,40099.50000000026,0.4546313799621928,0.23251417769376181
down_from_C5_low,10-25%,504,0.0,13035.000000000218,46185.19999999958,37922.00000000012,66093.0000000004,23568.99999999987,48473.249999999825,29677.500000000146,58616.249999999854,14311.499999999796,0.4662698412698413,0.24603174603174602
down_from_C5_low,25-40%,451,0.0,14547.999999999593,50347.99999999959,43619.00000000023,78714.50000000041,25215.99999999962,54440.49999999988,29598.99999999907,57961.00000000006,15827.000000000407,0.43902439024390244,0.24390243902439024
down_from_C5_low,40-50%,283,0.0,18319.499999999607,44613.99999999936,36880.00000000029,66944.00000000023,21072.999999999593,52440.49999999988,28536.999999999534,54412.50000000073,14686.999999999534,0.46996466431095407,0.26501766784452296
down_from_C5_low,50-60%,269,0.0,16510.000000000582,45052.60000000009,36731.99999999924,72744.00000000023,21263.000000000466,47040.00000000087,30772.000000000116,57591.999999999825,12313.999999999942,0.45353159851301117,0.2862453531598513
down_from_C5_low,60-75%,430,0.0,17670.24999999976,42667.100000000035,38454.499999999825,68050.99999999984,20868.00000000003,43024.75000000013,30059.500000000116,59562.75000000023,12819.999999999709,0.48372093023255813,0.2627906976744186
down_from_C5_low,75-90%,245,0.0,17706.999999999243,36440.00000000028,44111.999999999534,79805.99999999977,15037.999999999738,30908.000000000175,44148.999999999796,77772.99999999959,6258.000000000175,0.46938775510204084,0.27755102040816326
down_from_C5_low,90-100%,87,0.0,10094.999999999345,32712.799999999723,43083.000000000175,91149.50000000026,0.0,10796.500000000015,58362.99999999974,104356.99999999997,-2820.9999999999127,0.3793103448275862,0.21839080459770116
