zone,direction,reference,level_pips,n,hit_probability,median_projection_pips,p75_projection_pips,p90_projection_pips
0-10%,up,C5C6_high,50,306,0.3888888888888889,0.0,9311.25000000011,30965.50000000061
0-10%,up,C5C6_high,100,306,0.38562091503267976,0.0,9311.25000000011,30965.50000000061
0-10%,up,C5C6_high,250,306,0.38235294117647056,0.0,9311.25000000011,30965.50000000061
0-10%,up,C5C6_high,500,306,0.37254901960784315,0.0,9311.25000000011,30965.50000000061
0-10%,up,C5C6_high,750,306,0.37254901960784315,0.0,9311.25000000011,30965.50000000061
0-10%,up,C5C6_high,800,306,0.37254901960784315,0.0,9311.25000000011,30965.50000000061
0-10%,up,C5C6_high,1000,306,0.37254901960784315,0.0,9311.25000000011,30965.50000000061
0-10%,up,C5C6_high,1500,306,0.3660130718954248,0.0,9311.25000000011,30965.50000000061
0-10%,up,C5C6_high,2000,306,0.35294117647058826,0.0,9311.25000000011,30965.50000000061
0-10%,down,C5C6_low,50,306,0.2777777777777778,0.0,4199.750000000131,33268.500000000495
0-10%,down,C5C6_low,100,306,0.2777777777777778,0.0,4199.750000000131,33268.500000000495
0-10%,down,C5C6_low,250,306,0.2777777777777778,0.0,4199.750000000131,33268.500000000495
0-10%,down,C5C6_low,500,306,0.2777777777777778,0.0,4199.750000000131,33268.500000000495
0-10%,down,C5C6_low,750,306,0.27450980392156865,0.0,4199.750000000131,33268.500000000495
0-10%,down,C5C6_low,800,306,0.27450980392156865,0.0,4199.750000000131,33268.500000000495
0-10%,down,C5C6_low,1000,306,0.27450980392156865,0.0,4199.750000000131,33268.500000000495
0-10%,down,C5C6_low,1500,306,0.2679738562091503,0.0,4199.750000000131,33268.500000000495
0-10%,down,C5C6_low,2000,306,0.2647058823529412,0.0,4199.750000000131,33268.500000000495
10-25%,up,C5C6_high,50,546,0.34615384615384615,0.0,7627.25000000064,39111.000000000786
10-25%,up,C5C6_high,100,546,0.3443223443223443,0.0,7627.25000000064,39111.000000000786
10-25%,up,C5C6_high,250,546,0.33882783882783885,0.0,7627.25000000064,39111.000000000786
10-25%,up,C5C6_high,500,546,0.33516483516483514,0.0,7627.25000000064,39111.000000000786
10-25%,up,C5C6_high,750,546,0.32783882783882784,0.0,7627.25000000064,39111.000000000786
