pattern,target,n,baseline,conditional,edge,abs_edge
close_near_low,future_break_down,680,0.4087218045112782,0.7617647058823529,0.3530429013710747,0.3530429013710747
close_near_high,future_break_up,709,0.4,0.7306064880112835,0.33060648801128345,0.33060648801128345
close_near_low,future_break_up,680,0.4,0.11029411764705882,-0.2897058823529412,0.2897058823529412
all_bullish,future_break_down,132,0.4087218045112782,0.14393939393939395,-0.26478241057188423,0.26478241057188423
all_bearish,future_break_up,160,0.4,0.1375,-0.2625,0.2625
H4_bullish_engulf,future_break_up,185,0.4,0.6594594594594595,0.2594594594594595,0.2594594594594595
negative_directional_imbalance,future_break_up,166,0.4,0.14457831325301204,-0.25542168674698795,0.25542168674698795
positive_directional_imbalance,future_break_down,147,0.4087218045112782,0.1564625850340136,-0.2522592194772646,0.2522592194772646
H4_bearish_engulf,future_break_down,215,0.4087218045112782,0.6604651162790698,0.2517433117677916,0.2517433117677916
close_near_high,future_break_down,709,0.4087218045112782,0.1763046544428773,-0.2324171500684009,0.2324171500684009
all_bullish,future_break_up,132,0.4,0.6136363636363636,0.21363636363636362,0.21363636363636362
positive_directional_imbalance,future_break_up,147,0.4,0.6122448979591837,0.21224489795918366,0.21224489795918366
negative_directional_imbalance,future_break_down,166,0.4087218045112782,0.6204819277108434,0.21176012319956522,0.21176012319956522
last2_bullish,future_break_down,723,0.4087218045112782,0.19778699861687413,-0.21093480589440408,0.21093480589440408
all_bearish,future_break_down,160,0.4087218045112782,0.61875,0.2100281954887218,0.2100281954887218
H4_bearish_engulf,future_break_up,215,0.4,0.19534883720930232,-0.2046511627906977,0.2046511627906977
last2_bearish,future_break_up,813,0.4,0.1992619926199262,-0.20073800738007383,0.20073800738007383
last2_bullish,future_break_up,723,0.4,0.6002766251728907,0.2002766251728907,0.2002766251728907
last2_bearish,future_break_down,813,0.4087218045112782,0.6027060270602707,0.19398422254899245,0.19398422254899245
H4_bullish_engulf,future_break_down,185,0.4087218045112782,0.22702702702702704,-0.18169477748425117,0.18169477748425117
all_bearish,C5_direction,160,0.4830075187969925,0.63125,0.14824248120300748,0.14824248120300748
negative_directional_imbalance,C5_direction,166,0.4830075187969925,0.6204819277108434,0.13747440891385093,0.13747440891385093
C4_break_C3_high,future_break_up,1541,0.4,0.5321219987021415,0.13212199870214147,0.13212199870214147
