feature,target,pearson_r,pearson_p,spearman_r,spearman_p,n,abs_spearman
C5_direction,C5_return,0.6338285003629893,0.0,0.8237258137301513,0.0,3325,0.8237258137301513
C7_break_low,C7_low_excursion,-0.6233090231406482,0.0,-0.70427546542391,0.0,3325,0.70427546542391
C7_break_high,C7_high_excursion,0.5800397969338434,2.658714878010419e-298,0.6987505911138793,0.0,3325,0.6987505911138793
C6_break_low,C6_low_excursion,-0.6007345882103294,0.0,-0.6575644850226788,0.0,3325,0.6575644850226788
C6_break_high,C6_high_excursion,0.5770287019301017,1.6059500522902735e-294,0.6525130304016711,0.0,3325,0.6525130304016711
C5_direction,C6_low_excursion,0.4607940068846814,1.7872757359669373e-174,0.6044650257580675,0.0,3325,0.6044650257580675
C5_direction,C6_high_excursion,0.43169470810240196,4.879374242577209e-151,0.5918178280387272,1.7721960173e-313,3325,0.5918178280387272
C7_break_low,C7_return,-0.5244773766733161,1.9792839548959095e-234,-0.576923457795248,2.1735834090310575e-294,3325,0.576923457795248
C7_break_high,C7_return,0.4957944266981436,7.546010765210602e-206,0.5562514094893769,1.795563855636976e-269,3325,0.5562514094893769
C7_break_low,C6_low_excursion,-0.5142595028619701,6.211189346444885e-224,-0.5509672666521166,2.2176312735720025e-263,3325,0.5509672666521166
C7_break_high,C6_high_excursion,0.4953413719522253,2.0305330162809653e-205,0.5473504058103806,2.837528822180568e-259,3325,0.5473504058103806
C7_break_low,C6_return,-0.4986089150968245,1.5579445900395918e-208,-0.546000842569677,9.387770946649056e-258,3325,0.546000842569677
future_break_down,C7_low_excursion,-0.4884895597897261,5.379744354990817e-199,-0.5448516647367929,1.8242713997732038e-256,3325,0.5448516647367929
future_break_down,C6_low_excursion,-0.481232886329349,2.3754585673786664e-192,-0.544388927838082,6.005168715062163e-256,3325,0.544388927838082
C5_direction,C5_high_excursion,0.41356136485645645,1.4914108393313555e-137,0.5427693019403143,3.830387513500005e-254,3325,0.5427693019403143
future_break_up,C7_high_excursion,0.45661497825261677,5.751982389900412e-171,0.538729286861327,1.101990899420086e-249,3325,0.538729286861327
C5_break_low,C5_low_excursion,-0.5167918256265926,1.67910428797805e-226,-0.5386158438644906,1.4672676997072338e-249,3325,0.5386158438644906
C7_break_low,C7_high_excursion,-0.41799416014407564,8.978885016875869e-141,-0.5305642646738925,7.425431162680739e-241,3325,0.5305642646738925
C5_break_high,C5_high_excursion,0.5702199925001218,4.09054025480511e-286,0.5288854233913132,4.530613972622377e-239,3325,0.5288854233913132
C5_direction,C5_low_excursion,0.380799185718781,3.270473800214435e-115,0.5277683979363641,6.895172903935634e-238,3325,0.5277683979363641
