feature,importance
C4_close_position,0.1418982559779487
C4_close_below_C3_low,0.06793863899362289
H4_2_close_location,0.06576474183272804
C4_break_C3_low,0.047755084274255906
last2_bullish,0.04042924045843748
C4_close_above_C3_high,0.0371808541876713
last2_bearish,0.03580637348837554
C4_close_location,0.03106733349753552
direction_sum,0.024615344044449834
H4_2_open_location,0.02370243798760391
C4_open_location,0.020099772651067417
H4_return_change,0.017544518990448624
C4_break_C3_high,0.01729621014259936
H4_2_return,0.017061553543482884
H4_1_close_location,0.016157378872833267
H4_2_lower_wick_ratio,0.014192627895252665
H4_2_body_ratio,0.013591511388659546
H4_same_direction,0.010923267681147195
H4_opposite_direction,0.010604083003034136
C4_lower_wick_ratio,0.010238889175104493
C3_C4_return,0.009907387745151808
window_range,0.009514678105275221
C3_open_location,0.008705464435284003
H4_inside,0.00864219080727679
H4_1_return,0.007964973778139922
H4_bearish_engulf,0.007915964782045485
H4_2_lower_wick,0.007665346968301141
C2_open_location,0.007207548600726177
H4_2_upper_wick_ratio,0.006850285483946806
H4_1_range,0.006804771163237489
C4_body_ratio,0.006663814255983313
H4_2_body,0.006461216454988823
C2_close_location,0.00638298308646051
C4_return,0.006231870096017596
C3_close_location,0.006051747729958906
H4_1_open_location,0.005159218885936135
H4_1_body,0.004902999778385904
C2_range,0.004595733266640549
H4_2_range,0.0044830131505047876
C4_inside_C3,0.004419016918535414
C1_open_location,0.004344743833401001
C2_return,0.004317852420039459
range_trend,0.004053268740065582
H4_1_lower_wick,0.003866977163736342
C3_range,0.0038511462546023316
H4_1_upper_wick_ratio,0.0037959232168975126
C4_body,0.003641826294345748
C1_close_location,0.0036337316676324583
C3_body_ratio,0.0036283094965509004
C1_range,0.003528750076664947
C4_upper_wick_ratio,0.003433633485694191
H4_1_low,0.0033340184852013763
C4_vs_avg_range,0.0032725223208243536
C4_lower_wick,0.003258091988463364
C2_body,0.003203939745741479
H4_1_body_ratio,0.0031456748609906917
C1_body_ratio,0.0030534594838046037
H4_1_lower_wick_ratio,0.0030297329031951634
C3_body,0.0030290005307225336
C1_low,0.0029951244551399657
C1_lower_wick_ratio,0.0029703291427656477
window_low,0.002965648285884814
C2_open,0.002963728782814296
H4_range_ratio,0.002962237183249578
C4_range,0.002938921327084827
all_bullish,0.002905474164420291
C2_body_ratio,0.0028613971967746425
C3_return,0.002852910405430797
H4_1_open,0.0028139012314973475
C1_high,0.002809058606883194
C1_body,0.002797204368200882
C1_open,0.0027735858764226145
C3_open,0.0027503942723905925
C2_low,0.0027387357550330226
window_high,0.0027261463143129824
C1_upper_wick_ratio,0.0027076127253046756
C3_low,0.0026777715228020666
C4_low,0.002672424309263917
C2_high,0.0026433910470744907
C3_lower_wick_ratio,0.0026431371562775584
C3_upper_wick_ratio,0.002632711602867337
H4_1_high,0.0026226485369319173
C2_upper_wick_ratio,0.00262060830118921
C1_close,0.002612498222245455
H4_2_low,0.002586103429937933
H4_1_close,0.0025340237200696153
H4_2_open,0.002512173330290411
C3_high,0.0025056629873725375
H4_2_upper_wick,0.0024847162362015463
C3_close,0.0024783942547749733
C2_close,0.002473802204672037
H4_2_high,0.0023417786528039807
C3_upper_wick,0.002333123824345842
C1_return,0.0023135251495673167
C2_lower_wick_ratio,0.0023106548661280444
C4_close,0.0022850599148873697
C4_open,0.00224203866113365
H4_2_close,0.0022302650518442385
C4_high,0.0022011981972169517
C2_lower_wick,0.001939603201742442
all_bearish,0.0018640006031147534
H4_1_upper_wick,0.0018489278449194764
C4_upper_wick,0.0018105943267146354
H4_bullish_engulf,0.0017249394589549363
C3_lower_wick,0.0016818098273586224
C1_lower_wick,0.001551549864792675
C2_upper_wick,0.0014317736749533407
C1_upper_wick,0.0013937792589333
C4_C3_range_ratio,0.0009903346276460773
H4_2_trades,0.0009188394130860685
C3_C2_range_ratio,0.0009047603778679461
H4_1_trades,0.0008381542270686753
C2_C1_range_ratio,0.000798667490080454
C4_trades,0.0007699055402995807
C3_trades,0.0007439899499346655
C1_trades,0.0006851561773347414
C4_trades_ratio,0.0006787789251545901
C4_volume,0.00059042801434167
H4_2_volume,0.0005901727688946645
C2_volume,0.0005444064361302941
H4_1_volume,0.0005168702106829536
C1_volume,0.0005031953491529389
C2_trades,0.0004986011110773845
C3_volume,0.00044093966326873356
C4_body_vs_C3_body,0.00021663791513045006
C4_volume_ratio,0.00021211592022580734
