feature,importance
C4_close_position,0.14494300012548902
C4_close_above_C3_high,0.08645375658816729
H4_2_close_location,0.07004979259287551
C4_break_C3_high,0.04594984975386505
C4_close_below_C3_low,0.04368337715730814
last2_bearish,0.03675332644864559
H4_2_open_location,0.025489690952125034
last2_bullish,0.024260288620267315
C4_close_location,0.02415971659796842
direction_sum,0.02030515960756352
H4_1_close_location,0.015820018436367635
C4_open_location,0.015723231823550468
H4_return_change,0.015498891972073946
H4_2_return,0.014984212898305233
C4_break_C3_low,0.014331386319243838
H4_2_body_ratio,0.014184507758648929
window_range,0.013695642098306022
H4_inside,0.010627657311645772
H4_2_upper_wick_ratio,0.010040033679748001
H4_1_range,0.009843603588513425
C3_open_location,0.009838550467393476
H4_same_direction,0.00852041570980373
H4_1_body,0.008097303331303797
H4_opposite_direction,0.00801148268930004
H4_2_lower_wick_ratio,0.008003244147935705
C3_C4_return,0.007917318357850167
C4_inside_C3,0.007757944272439663
H4_2_body,0.007426113449542984
C3_close_location,0.007362802875129556
C2_close_location,0.007361565554221127
C4_return,0.007351542652329946
C2_range,0.007221540021019838
C3_range,0.0068072629222166794
H4_1_return,0.006651570815091008
C4_body_ratio,0.0065954241592218145
H4_2_range,0.0065045272726850945
H4_2_upper_wick,0.006177211077479226
H4_bullish_engulf,0.006153396803091727
C3_return,0.005952274085621499
C4_upper_wick_ratio,0.005861020882787541
C1_range,0.005228338280192461
H4_1_lower_wick_ratio,0.005056554597357196
C2_open_location,0.00496818038892468
C2_return,0.004882610281464087
all_bearish,0.004720923725848724
C4_body,0.004653738977927587
H4_1_upper_wick,0.004329654388217866
C3_body,0.004209226090239127
C2_body,0.004182187761968991
H4_1_open_location,0.004148626507142775
range_trend,0.004006165062032847
C4_range,0.00389960303705244
C4_lower_wick_ratio,0.003856353283269431
C1_body,0.0036852324297579164
C4_upper_wick,0.003524934172831439
C1_close_location,0.003333610694251111
C1_open_location,0.003077431473424103
H4_range_ratio,0.0030588736040481224
C3_upper_wick_ratio,0.0029256278349397732
H4_1_upper_wick_ratio,0.0029150858764410256
C3_lower_wick_ratio,0.0028578105691845833
H4_1_body_ratio,0.002776836948544414
C4_vs_avg_range,0.0027266430663402345
H4_bearish_engulf,0.0027153138633706857
C3_body_ratio,0.0027102387802767193
C2_upper_wick,0.002602982050126967
C2_body_ratio,0.0024932075294783404
C1_high,0.0024921254911801443
C3_lower_wick,0.0024260315919261504
C1_close,0.0023848577569215005
C2_high,0.002363356706786868
H4_1_high,0.002335255011719261
C1_body_ratio,0.002333712913586658
window_high,0.0023154511412157124
C2_lower_wick_ratio,0.0022817027062546386
H4_2_lower_wick,0.002237556260590558
C3_open,0.0022178044233747687
C1_open,0.0022045487307612633
C3_upper_wick,0.002187803850910163
H4_1_open,0.0021663779624693925
C2_open,0.0021657571351556028
C2_close,0.002143705270931137
C4_high,0.0021364363047048744
H4_1_close,0.0021024522192460487
C4_open,0.0020148947332826947
C1_upper_wick_ratio,0.002010101167419498
C3_high,0.0020061925576978167
C2_lower_wick,0.0020008058240501268
C2_low,0.0019735423739046186
C2_upper_wick_ratio,0.001962348083485505
C4_low,0.0019452131263469935
C1_upper_wick,0.001919879231728625
C3_close,0.0018937995158569965
H4_2_high,0.001872367142913702
H4_2_open,0.0018699211099915923
C3_low,0.0018639933709880803
C4_close,0.0018359225942345884
C1_low,0.0018213806996284394
H4_1_low,0.0018179164136845189
H4_1_lower_wick,0.001812986051363777
H4_2_close,0.0017974634437806546
C1_lower_wick_ratio,0.0017938058910562714
C1_return,0.0017891659003311958
window_low,0.0017749673547519155
H4_2_low,0.00176048735350062
C1_lower_wick,0.001564038674018569
C4_lower_wick,0.001539218756510374
C4_C3_range_ratio,0.001501670597959768
H4_1_trades,0.0014824546613824289
H4_2_trades,0.00142264300243722
C1_trades,0.0013968262647107948
all_bullish,0.0013450664677386744
C2_trades,0.0013392906216565322
C3_trades,0.0012708448555265102
H4_1_volume,0.0009224872342704832
C3_C2_range_ratio,0.0008475153316583824
C4_trades,0.0007823441094904906
C4_trades_ratio,0.0007318678151025529
H4_2_volume,0.0006490425230382164
C2_volume,0.0006485014684843955
C1_volume,0.0006381459148081716
C2_C1_range_ratio,0.0006365131094027152
C3_volume,0.0004605590824623277
C4_volume,0.00039392828648885254
C4_body_vs_C3_body,0.0002467066858641429
C4_volume_ratio,0.00023259796745893563
