timestamp,C4_close,prior_8h_high,prior_8h_low,prior_8h_range_pips,C5_close,C5_high,C5_low,C5_close_position_pct_8h,C5_high_position_pct_8h,C5_low_position_pct_8h,C5_high_zone_8h,C5_low_zone_8h,C5_breaks_prior_8h_high,C5_breaks_prior_8h_low,C5_high_break_only,C5_low_break_only,C5_break_side,C5_high_sweep_reject_prior_8h,C5_low_sweep_reject_prior_8h,C5_high_distance_from_prior_8h_high_pips,C5_low_distance_from_prior_8h_low_pips,C5_range_pips,C6_range_pips,C4_to_C5_high_pips,C4_to_C5_low_pips,MFE_long_C4_close_C5C6_pips,MAE_long_C4_close_C5C6_pips,MFE_short_C4_close_C5C6_pips,MAE_short_C4_close_C5C6_pips,C6_extend_above_C5_high_pips,C6_extend_below_C5_low_pips,C6_close_from_C5_high_pips,C6_close_from_C5_low_pips,MFE_long_C5_high_pips,MAE_long_C5_high_pips,MFE_short_C5_low_pips,MAE_short_C5_low_pips,max_projection_up_C5C6_from_C5_high_pips,max_projection_down_C5C6_from_C5_low_pips,C6_breaks_C5_high,C6_breaks_C5_low,C6_close_above_C5_high,C6_close_below_C5_low,C6_inside_C5_range,C6_high_sweep_C5_high_reject,C6_low_sweep_C5_low_reject,up_from_C5_high_touch_50_pips_bar,down_from_C5_low_touch_50_pips_bar,up_from_C5_high_touch_100_pips_bar,down_from_C5_low_touch_100_pips_bar,up_from_C5_high_touch_250_pips_bar,down_from_C5_low_touch_250_pips_bar,up_from_C5_high_touch_500_pips_bar,down_from_C5_low_touch_500_pips_bar,up_from_C5_high_touch_750_pips_bar,down_from_C5_low_touch_750_pips_bar,up_from_C5_high_touch_800_pips_bar,down_from_C5_low_touch_800_pips_bar,up_from_C5_high_touch_1000_pips_bar,down_from_C5_low_touch_1000_pips_bar,up_from_C5_high_touch_1500_pips_bar,down_from_C5_low_touch_1500_pips_bar,up_from_C5_high_touch_2000_pips_bar,down_from_C5_low_touch_2000_pips_bar
1764856800000000,92936.28,99000.0,90990.23,800977.0000000003,92267.67,93030.93,92001.58,15.94852286644937,25.477635437721634,12.626454941902269,25-40%,10-25%,0,0,0,0,0,0,0,0.0,0.0,102934.99999999913,145830.99999999977,9464.999999999418,93469.99999999971,9464.999999999418,186000.99999999948,186000.99999999948,9464.999999999418,0.0,92530.99999999977,-100793.99999999878,2141.0000000003492,0.0,195465.9999999989,92530.99999999977,53300.0,0.0,92530.99999999977,0,1,0,0,1,0,1,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0
1764864000000000,92267.67,93574.12,91833.91,174020.99999999919,92022.99,92534.58,91076.27,10.865355330678634,40.263531412875544,0.0,40-50%,0-10%,0,1,0,1,-1,0,1,0.0,75763.99999999994,145830.99999999977,66571.99999999866,26691.00000000035,119139.99999999942,26691.00000000035,119139.99999999942,119139.99999999942,26691.00000000035,0.0,0.0,-40005.00000000029,105825.99999999948,0.0,66575.99999999948,0.0,145826.99999999895,0.0,0.0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,
1764871200000000,92022.99,93138.62,91076.27,206234.99999999913,92134.53,92534.54,91868.82,51.3133076344946,70.70914248308947,38.429461536596904,60-75%,25-40%,0,0,0,0,0,0,0,0.0,0.0,66571.99999999866,36233.000000000175,51154.999999998836,15416.999999999825,51154.999999998836,15416.999999999825,15416.999999999825,51154.999999998836,0.0,0.0,-12458.99999999965,54112.99999999901,0.0,36233.99999999965,0.0,66570.99999999919,0.0,0.0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,
1764878400000000,92134.53,93138.62,91076.27,206234.99999999913,92409.95,92534.53,92172.2,64.66797585278923,70.70865759934061,53.13986471743388,60-75%,50-60%,0,0,0,0,0,0,0,0.0,0.0,36233.000000000175,26686.999999999534,40000.0,-3766.9999999998254,40000.999999999476,0.0,0.0,40000.999999999476,0.999999999476131,0.0,-8645.999999999185,27587.00000000099,0.999999999476131,26686.00000000006,0.0,36233.99999999965,0.999999999476131,0.0,1,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,
1764885600000000,92409.95,93030.93,91076.27,195465.9999999989,92448.07,92534.54,92267.67,70.18100334585098,74.60479060296919,60.95177677959342,60-75%,60-75%,0,0,0,0,0,0,0,0.0,0.0,26686.999999999534,53372.00000000012,12458.99999999965,14227.999999999884,25830.00000000029,27541.999999999825,27541.999999999825,25830.00000000029,13371.00000000064,13313.999999999942,-40000.999999999476,-13313.999999999942,13371.00000000064,40000.999999999476,13313.999999999942,40058.000000000175,13371.00000000064,13313.999999999942,1,1,0,1,0,1,0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1764892800000000,92448.07,92534.58,91076.27,145830.99999999977,92134.53,92668.25,92134.53,72.56756108097704,100.0,72.56756108097704,90-100%,60-75%,1,0,1,0,1,1,0,13366.999999999825,0.0,53372.00000000012,48355.00000000029,22017.9999999993,31354.000000000815,22017.9999999993,44649.000000000524,44649.000000000524,22017.9999999993,0.0,13294.999999999709,-66666.99999999983,-13294.999999999709,0.0,66666.99999999983,13294.999999999709,35060.00000000058,0.0,13294.999999999709,0,1,0,1,0,0,0,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0
1764900000000000,92134.53,92668.25,91868.82,79942.9999999993,92001.58,92485.13,92001.58,16.606832368061735,77.09367924646348,16.606832368061735,75-90%,10-25%,0,0,0,0,0,0,0,0.0,0.0,48355.00000000029,47958.99999999965,35060.00000000058,13294.999999999709,38030.99999999977,13294.999999999709,13294.999999999709,38030.99999999977,2970.999999999185,0.0,2970.999999999185,51325.999999999476,2970.999999999185,44988.000000000466,0.0,51325.999999999476,2970.999999999185,0.0,1,0,1,0,0,0,0,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,
1764907200000000,92001.58,92668.25,92001.58,66666.99999999983,92514.84,92514.84,92035.25,76.98861505692413,76.98861505692413,5.050474747626013,75-90%,0-10%,0,0,0,0,0,0,0,0.0,0.0,47958.99999999965,135475.0,51325.999999999476,-3366.9999999998254,51325.999999999476,91672.99999999959,91672.99999999959,51325.999999999476,0.0,95039.99999999942,-132847.9999999996,-84888.99999999994,0.0,142998.99999999907,95039.99999999942,40435.00000000058,0.0,95039.99999999942,0,1,0,1,0,0,0,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0
1764914400000000,92514.84,92668.25,92001.58,66666.99999999983,91186.36,92439.6,91084.85,0.0,65.70267148664335,0.0,60-75%,0-10%,0,1,0,1,-1,0,0,0.0,91672.99999999959,135475.0,38115.00000000087,-7523.999999999069,142998.99999999907,0.0,142998.99999999907,142998.99999999907,0.0,0.0,0.0,-88498.00000000105,46976.99999999895,0.0,124804.00000000081,0.0,48786.00000000006,0.0,0.0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,
1764921600000000,91186.36,92668.25,91084.85,158339.99999999942,91554.62,91572.71,91191.56,29.668435013262044,30.810913224706475,6.73929518757056,25-40%,0-10%,0,0,0,0,0,0,0,0.0,0.0,38115.00000000087,100290.9999999989,38635.00000000058,-519.999999999709,38635.00000000058,63464.99999999942,63464.99999999942,38635.00000000058,0.0,63984.99999999913,-102100.0,-63984.99999999913,0.0,102100.0,63984.99999999913,36305.99999999977,0.0,63984.99999999913,0,1,0,1,0,0,0,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0
1764928800000000,91554.62,92514.84,91084.85,142998.99999999907,90551.71,91554.62,90551.71,0.0,32.85127868026997,0.0,25-40%,0-10%,0,1,0,1,-1,0,0,0.0,53313.99999999994,100290.9999999989,137581.00000000122,0.0,100290.9999999989,0.0,149347.00000000012,149347.00000000012,0.0,0.0,49056.00000000122,-122280.99999999977,-21990.000000000873,0.0,149347.00000000012,49056.00000000122,88525.0,0.0,49056.00000000122,0,1,0,1,0,0,0,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0
1764936000000000,90551.71,92514.84,90551.71,196312.999999999,90331.81,91436.96,90061.15,0.0,45.09380428193774,0.0,40-50%,0-10%,0,1,0,1,-1,0,0,0.0,49056.00000000122,137581.00000000122,232495.99999999919,88525.0,49056.00000000122,88525.0,232338.00000000047,232338.00000000047,88525.0,0.0,183281.99999999924,-231226.00000000093,-93644.99999999971,0.0,320863.00000000047,183281.99999999924,49213.99999999994,0.0,183281.99999999924,0,1,0,1,0,0,0,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0
1764943200000000,90331.81,92439.6,90061.15,237845.00000000116,89124.7,90553.29,88228.33,0.0,20.69162689987164,0.0,10-25%,0-10%,0,1,0,1,-1,0,0,0.0,183281.99999999924,232495.99999999919,73525.99999999948,22147.999999999593,210347.9999999996,22147.999999999593,210347.9999999996,210347.9999999996,22147.999999999593,0.0,0.0,-104164.99999999942,128330.99999999977,0.0,155328.99999999936,0.0,150692.9999999993,0.0,0.0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,
1764950400000000,89124.7,91572.71,88228.33,334438.00000000047,89511.64,89735.26,89000.0,38.372134745453444,45.05857587953495,23.07363397700014,40-50%,10-25%,0,0,0,0,0,0,0,0.0,0.0,73525.99999999948,28783.000000000175,61055.99999999977,12469.999999999709,61055.99999999977,12469.999999999709,12469.999999999709,61055.99999999977,0.0,0.0,-35278.99999999936,38247.00000000012,0.0,49516.999999999825,0.0,52791.999999999825,0.0,0.0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,
1764957600000000,89511.64,91554.62,88228.33,332628.99999999936,89382.47,89527.92,89240.09,34.6975158509932,39.07025544976533,30.417071271596786,25-40%,25-40%,0,0,0,0,0,0,0,0.0,0.0,28783.000000000175,65827.00000000041,1627.9999999998836,27155.00000000029,27133.000000000175,38694.00000000023,38694.00000000023,27133.000000000175,25505.00000000029,11538.999999999942,-22034.999999999127,6748.000000001048,25505.00000000029,40322.00000000012,11538.999999999942,54288.000000000466,25505.00000000029,11538.999999999942,1,1,0,0,1,1,1,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1764964800000000,89382.47,91436.96,88228.33,320863.00000000047,89307.57,89782.97,89124.7,33.63553915534055,48.45183146701231,27.936222001290083,40-50%,25-40%,0,0,0,0,0,0,0,0.0,0.0,65827.00000000041,0.0,40050.0,25777.000000000407,40050.0,25777.000000000407,25777.000000000407,40050.0,0.0,0.0,-52947.99999999959,12879.000000000815,0.0,52947.99999999959,0.0,12879.000000000815,0.0,0.0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,
1764972000000000,89307.57,90553.29,88228.33,232495.99999999919,89253.49,89253.49,89253.49,44.093661826440325,44.093661826440325,44.093661826440325,40-50%,40-50%,0,0,0,0,0,0,0,0.0,0.0,0.0,22941.999999999825,-5408.000000000175,5408.000000000175,43348.99999999907,5408.000000000175,5408.000000000175,43348.99999999907,48756.99999999924,0.0,48756.99999999924,48756.99999999924,48756.99999999924,0.0,0.0,48756.99999999924,48756.99999999924,0.0,1,0,1,0,0,0,0,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,
1764979200000000,89253.49,89782.97,89000.0,78297.00000000012,89741.06,89741.06,89511.64,94.64730449442463,94.64730449442463,65.34605412723332,90-100%,60-75%,0,0,0,0,0,0,0,0.0,0.0,22941.999999999825,208.00000000017462,48756.99999999924,-25814.999999999418,48756.99999999924,0.0,0.0,48756.99999999924,0.0,0.0,-4220.999999999185,18721.00000000064,0.0,4253.99999999936,0.0,18896.00000000064,0.0,0.0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,
1764986400000000,89741.06,89782.97,89124.7,65827.00000000041,89698.85,89700.6,89698.52,87.2210491135864,87.48689747368181,87.17091770853958,75-90%,75-90%,0,0,0,0,0,0,0,0.0,0.0,208.00000000017462,11700.0,-4045.999999999185,4253.99999999936,2944.999999999709,8755.000000000291,8755.000000000291,2944.999999999709,6990.999999998894,4501.000000000931,6990.999999998894,7198.999999999069,6990.999999998894,4709.000000001106,4501.000000000931,7198.999999999069,6990.999999998894,4501.000000000931,1,1,1,0,0,0,1,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1764993600000000,89698.85,89782.97,89124.7,65827.00000000041,89770.51,89770.51,89653.51,98.10715967611978,98.10715967611978,80.33329788688447,90-100%,75-90%,0,0,0,0,0,0,0,0.0,0.0,11700.0,26955.00000000029,7165.999999998894,4534.000000001106,7165.999999998894,31638.000000000466,31638.000000000466,7165.999999998894,0.0,27103.99999999936,-25886.999999999534,-14186.999999999534,0.0,38803.99999999936,27103.99999999936,0.0,0.0,27103.99999999936,0,1,0,1,0,0,0,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0
1765000800000000,89770.51,89770.51,89253.49,51701.99999999895,89511.64,89652.02,89382.47,49.93037019844482,77.08212448261322,24.946810568256264,75-90%,10-25%,0,0,0,0,0,0,0,0.0,0.0,26955.00000000029,19486.00000000006,-11848.999999999069,38803.99999999936,0.0,38803.99999999936,38803.99999999936,0.0,8358.99999999965,0.0,6861.000000000058,33816.00000000035,8358.99999999965,11127.000000000407,0.0,35313.99999999994,8358.99999999965,0.0,1,0,1,0,0,0,0,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,
1765008000000000,89511.64,89770.51,89382.47,38803.99999999936,89720.63,89735.61,89540.75,87.14565508710676,91.0060818472336,40.78960931862732,90-100%,40-50%,0,0,0,0,0,0,0,0.0,0.0,19486.00000000006,10250.0,22397.000000000116,-2911.000000000058,22397.000000000116,0.0,0.0,22397.000000000116,0.0,0.0,-6069.999999999709,13416.00000000035,0.0,11910.000000000582,0.0,17825.999999999476,0.0,0.0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,
1765015200000000,89720.63,89770.51,89382.47,38803.99999999936,89674.91,89719.01,89616.51,75.36336460158931,86.72817235336542,60.31336975569464,75-90%,60-75%,0,0,0,0,0,0,0,0.0,0.0,10250.0,51927.99999999988,-162.00000000098953,10412.00000000099,43963.99999999994,10412.00000000099,10412.00000000099,43963.99999999994,44126.00000000093,0.0,23466.00000000035,33716.00000000035,44126.00000000093,7801.999999998952,0.0,54376.00000000093,44126.00000000093,0.0,1,0,1,0,0,0,0,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,
1765022400000000,89674.91,89770.51,89382.47,38803.99999999936,89953.67,90160.27,89640.99,100.0,100.0,66.6219977321947,90-100%,60-75%,1,0,1,0,1,0,0,38976.00000000093,0.0,51927.99999999988,47553.99999999936,48536.00000000006,3391.9999999998254,48536.00000000006,19452.000000000407,19452.000000000407,48536.00000000006,0.0,16060.000000000582,-38330.00000000029,13597.999999999593,0.0,67988.00000000047,16060.000000000582,31493.999999998778,0.0,16060.000000000582,0,1,0,0,1,0,1,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0
1765029600000000,89953.67,90160.27,89382.47,77780.00000000029,89776.97,89955.93,89480.39,50.71997942915898,73.7284649010015,12.58935458986859,60-75%,10-25%,0,0,0,0,0,0,0,0.0,0.0,47553.99999999936,20709.999999999127,225.99999999947613,47327.99999999988,225.99999999947613,47327.99999999988,47327.99999999988,225.99999999947613,0.0,0.0,-38223.99999999907,9330.000000000291,0.0,38223.99999999907,0.0,30039.999999999418,0.0,0.0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,
1765036800000000,89776.97,90160.27,89480.39,67988.00000000047,89573.69,89780.79,89573.69,13.723009942931439,44.18426781196566,13.723009942931439,40-50%,10-25%,0,0,0,0,0,0,0,0.0,0.0,20709.999999999127,27530.00000000029,381.9999999992433,20327.999999999884,381.9999999992433,28177.000000000407,28177.000000000407,381.9999999992433,0.0,7849.000000000524,-26672.999999999593,-5963.000000000466,0.0,28558.99999999965,7849.000000000524,19680.999999999767,0.0,7849.000000000524,0,1,0,1,0,0,0,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0
1765044000000000,89573.69,90160.27,89480.39,67988.00000000047,89514.06,89770.5,89495.2,4.952344531387602,42.67076542919318,2.1783255868679134,40-50%,0-10%,0,0,0,0,0,0,0,0.0,0.0,27530.00000000029,12898.999999999069,19680.999999999767,7849.000000000524,19680.999999999767,32019.99999999971,32019.99999999971,19680.999999999767,0.0,24170.999999999185,-51700.999999999476,-24170.999999999185,0.0,51700.999999999476,24170.999999999185,0.0,0.0,24170.999999999185,0,1,0,1,0,0,0,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0
1765051200000000,89514.06,90160.27,89480.39,67988.00000000047,89253.49,89382.48,89253.49,0.0,0.0,0.0,0-10%,0-10%,0,1,0,1,-1,0,0,0.0,22689.999999999418,12898.999999999069,29846.00000000064,-13158.000000000175,26056.999999999243,2851.0000000009313,26994.99999999971,26994.99999999971,2851.0000000009313,16009.000000001106,938.0000000004657,4501.000000000931,17400.0,16009.000000001106,13836.999999999534,938.0000000004657,28908.000000000175,16009.000000001106,938.0000000004657,1,1,1,0,0,0,1,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,,2.0,
1765058400000000,89253.49,89955.93,89253.49,70243.99999999878,89427.49,89542.57,89244.11,24.770798929446364,41.153692842094244,0.0,40-50%,0-10%,0,1,0,1,-1,0,1,0.0,938.0000000004657,29846.00000000064,0.0,28908.000000000175,938.0000000004657,28908.000000000175,938.0000000004657,938.0000000004657,28908.000000000175,0.0,0.0,-12445.000000001164,17400.999999999476,0.0,12445.000000001164,0.0,17400.999999999476,0.0,0.0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,
1765065600000000,89427.49,89780.79,89244.11,53667.9999999993,89418.12,89418.12,89418.12,32.423418051724866,32.423418051724866,32.423418051724866,25-40%,25-40%,0,0,0,0,0,0,0,0.0,0.0,0.0,7069.000000000233,-937.0000000009895,937.0000000009895,16461.00000000006,937.0000000009895,937.0000000009895,16461.00000000006,17398.000000001048,0.0,11257.000000000698,11257.000000000698,17398.000000001048,0.0,0.0,17398.000000001048,17398.000000001048,0.0,1,0,1,0,0,0,0,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,
