zone,direction,level_pips,n,hit_probability,median_mfe_pips,p75_mfe_pips
0-10%,up,50,305,0.9770491803278688,88055.99999999977,173752.99999999988
0-10%,up,100,305,0.9770491803278688,88055.99999999977,173752.99999999988
0-10%,up,250,305,0.9770491803278688,88055.99999999977,173752.99999999988
0-10%,up,500,305,0.9770491803278688,88055.99999999977,173752.99999999988
0-10%,up,750,305,0.9770491803278688,88055.99999999977,173752.99999999988
0-10%,up,800,305,0.9770491803278688,88055.99999999977,173752.99999999988
0-10%,up,1000,305,0.9737704918032787,88055.99999999977,173752.99999999988
0-10%,up,1500,305,0.9737704918032787,88055.99999999977,173752.99999999988
0-10%,up,2000,305,0.9737704918032787,88055.99999999977,173752.99999999988
0-10%,down,50,305,0.9606557377049181,96382.0000000007,156333.00000000017
0-10%,down,100,305,0.9573770491803278,96382.0000000007,156333.00000000017
0-10%,down,250,305,0.9540983606557377,96382.0000000007,156333.00000000017
0-10%,down,500,305,0.9540983606557377,96382.0000000007,156333.00000000017
0-10%,down,750,305,0.9508196721311475,96382.0000000007,156333.00000000017
0-10%,down,800,305,0.9508196721311475,96382.0000000007,156333.00000000017
0-10%,down,1000,305,0.9508196721311475,96382.0000000007,156333.00000000017
0-10%,down,1500,305,0.9475409836065574,96382.0000000007,156333.00000000017
0-10%,down,2000,305,0.9475409836065574,96382.0000000007,156333.00000000017
10-25%,up,50,542,0.9723247232472325,80866.50000000081,150329.0000000001
10-25%,up,100,542,0.9723247232472325,80866.50000000081,150329.0000000001
10-25%,up,250,542,0.9704797047970479,80866.50000000081,150329.0000000001
10-25%,up,500,542,0.9686346863468634,80866.50000000081,150329.0000000001
10-25%,up,750,542,0.9686346863468634,80866.50000000081,150329.0000000001
10-25%,up,800,542,0.9686346863468634,80866.50000000081,150329.0000000001
10-25%,up,1000,542,0.9686346863468634,80866.50000000081,150329.0000000001
10-25%,up,1500,542,0.966789667896679,80866.50000000081,150329.0000000001
10-25%,up,2000,542,0.9612546125461254,80866.50000000081,150329.0000000001
10-25%,down,50,542,0.977859778597786,112190.49999999988,200796.99999999977
10-25%,down,100,542,0.977859778597786,112190.49999999988,200796.99999999977
10-25%,down,250,542,0.9760147601476015,112190.49999999988,200796.99999999977
10-25%,down,500,542,0.9760147601476015,112190.49999999988,200796.99999999977
10-25%,down,750,542,0.9760147601476015,112190.49999999988,200796.99999999977
10-25%,down,800,542,0.9760147601476015,112190.49999999988,200796.99999999977
10-25%,down,1000,542,0.9760147601476015,112190.49999999988,200796.99999999977
10-25%,down,1500,542,0.9704797047970479,112190.49999999988,200796.99999999977
10-25%,down,2000,542,0.9649446494464945,112190.49999999988,200796.99999999977
25-40%,up,50,474,0.9852320675105485,87994.50000000033,158730.74999999953
25-40%,up,100,474,0.9852320675105485,87994.50000000033,158730.74999999953
25-40%,up,250,474,0.9852320675105485,87994.50000000033,158730.74999999953
25-40%,up,500,474,0.9852320675105485,87994.50000000033,158730.74999999953
25-40%,up,750,474,0.9852320675105485,87994.50000000033,158730.74999999953
25-40%,up,800,474,0.9852320675105485,87994.50000000033,158730.74999999953
25-40%,up,1000,474,0.9852320675105485,87994.50000000033,158730.74999999953
25-40%,up,1500,474,0.9852320675105485,87994.50000000033,158730.74999999953
25-40%,up,2000,474,0.9852320675105485,87994.50000000033,158730.74999999953
25-40%,down,50,474,0.9556962025316456,86581.5000000006,167571.25000000015
25-40%,down,100,474,0.9556962025316456,86581.5000000006,167571.25000000015
25-40%,down,250,474,0.9556962025316456,86581.5000000006,167571.25000000015
25-40%,down,500,474,0.9535864978902954,86581.5000000006,167571.25000000015
25-40%,down,750,474,0.9535864978902954,86581.5000000006,167571.25000000015
25-40%,down,800,474,0.9535864978902954,86581.5000000006,167571.25000000015
25-40%,down,1000,474,0.9514767932489452,86581.5000000006,167571.25000000015
25-40%,down,1500,474,0.9514767932489452,86581.5000000006,167571.25000000015
25-40%,down,2000,474,0.9514767932489452,86581.5000000006,167571.25000000015
40-50%,up,50,287,0.9651567944250871,76025.0,155658.4999999999
40-50%,up,100,287,0.9651567944250871,76025.0,155658.4999999999
40-50%,up,250,287,0.9651567944250871,76025.0,155658.4999999999
40-50%,up,500,287,0.9651567944250871,76025.0,155658.4999999999
40-50%,up,750,287,0.9581881533101045,76025.0,155658.4999999999
40-50%,up,800,287,0.9581881533101045,76025.0,155658.4999999999
40-50%,up,1000,287,0.9581881533101045,76025.0,155658.4999999999
40-50%,up,1500,287,0.9581881533101045,76025.0,155658.4999999999
40-50%,up,2000,287,0.9547038327526133,76025.0,155658.4999999999
40-50%,down,50,287,0.9581881533101045,85061.00000000006,181955.4999999993
40-50%,down,100,287,0.9581881533101045,85061.00000000006,181955.4999999993
40-50%,down,250,287,0.9547038327526133,85061.00000000006,181955.4999999993
